City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,utrik,11.2278,169.8474,79.09,79,100,23.51,MH,1707704511
84,ribeira grande,38.5167,-28.7,62.78,87,13,25.99,PT,1707704505
85,ixmiquilpan,20.4833,-99.2333,68.9,26,41,7.52,MX,1707704909
86,bubaque,11.2833,-15.8333,79.03,64,0,15.26,GW,1707704909
87,mozhga,56.4447,52.2276,-6.05,99,99,5.5,RU,1707704910
88,sinjai,-5.1241,120.253,83.91,74,87,3.09,ID,1707704910
89,sao paulo de olivenca,-3.3783,-68.8725,75.18,98,88,0.38,BR,1707704910
90,fort st. john,56.2499,-120.8529,30.09,59,75,3.44,CA,1707704535
91,kuchera,26.9839,73.9719,55.02,35,100,7.45,IN,1707704910
92,jacksonville,30.3322,-81.6556,70.03,82,0,5.75,US,1707704192
93,berdigestyakh,62.0989,126.6992,-12.5,96,100,7.56,RU,1707704910
94,varadero,23.1536,-81.2514,70.56,74,93,11.05,CU,1707704706
95,whakatane,-37.9585,176.9854,79.88,56,47,5.01,NZ,1707704550
96,college,64.8569,-147.8028,21.52,75,75,0.0,US,1707704502
97,vandergrift,40.6028,-79.5648,42.87,78,39,3.18,US,1707704910
98,saipan,15.1355,145.701,88.5,55,40,14.97,MP,1707704522
99,kolwezi,-10.7148,25.4667,59.83,95,100,2.21,CD,1707704911
100,hadibu,12.65,54.0333,75.49,77,11,7.2,YE,1707704518
101,fortuna,40.5982,-124.1573,53.65,92,0,0.0,US,1707704534
102,margaret river,-33.95,115.0667,72.55,54,0,15.46,AU,1707704269
103,flin flon,54.7682,-101.865,16.48,99,94,1.83,CA,1707704911
104,kiama,-34.6833,150.8667,85.37,65,0,11.99,AU,1707704911
105,dogondoutchi,13.6393,4.0287,74.08,11,2,9.48,NE,1707704911
106,nar'yan-mar,67.6713,53.087,-27.89,100,19,4.0,RU,1707704503
107,edinburgh of the seven seas,-37.0676,-12.3116,63.37,72,21,17.98,SH,1707704499
108,uturoa,-16.7333,-151.4333,81.99,87,100,24.61,PF,1707704554
109,asau,46.4333,26.4,43.72,75,100,3.85,RO,1707704911
110,rabaul,-4.1967,152.1721,84.15,72,90,13.65,PG,1707704911
111,jesup,31.6074,-81.8854,66.34,94,75,0.0,US,1707704912
112,udachny,66.4167,112.4,-23.48,97,100,6.93,RU,1707704499
113,mbaiki,3.8678,17.9892,73.02,33,100,2.28,CF,1707704912
114,lokossa,6.6387,1.7167,78.35,90,36,5.28,BJ,1707704912
115,jumla,29.2747,82.1838,34.57,39,0,4.36,NP,1707704912
116,spassk-dal'niy,44.5978,132.8211,27.07,75,19,12.33,RU,1707704912
117,creel,27.75,-107.6333,27.68,34,0,5.01,MX,1707704912
118,halden,59.1226,11.3871,24.64,88,100,11.88,NO,1707704912
119,atafu village,-8.5421,-172.5159,82.72,80,100,17.87,TK,1707704504
120,callao,-12.0667,-77.15,81.72,69,0,14.97,PE,1707704913
121,al jawf,29.5,38.75,49.62,70,65,7.96,SA,1707704913
122,kushtia,23.9011,89.1221,65.86,41,10,4.59,BD,1707704913
123,saint-affrique,43.9558,2.8892,39.79,94,100,0.51,FR,1707704913
124,sena madureira,-9.0656,-68.6569,74.62,99,100,1.7,BR,1707704913
125,ixtapa,20.7,-105.2,74.43,64,75,5.75,MX,1707704913
126,kayangel,8.0823,134.7173,81.72,83,100,20.56,PW,1707704532
127,susuman,62.7833,148.1667,-27.02,99,96,1.01,RU,1707704510
128,besisahar,28.2313,84.3761,59.04,18,0,6.24,NP,1707704913
129,shimokizukuri,40.8061,140.3861,40.51,70,99,20.54,JP,1707704913
130,kruisfontein,-34.0033,24.7314,59.88,86,61,6.98,ZA,1707704540
131,buala,-8.145,159.5921,85.35,69,83,9.31,SB,1707704914
132,port lincoln,-34.7333,135.8667,76.42,56,0,6.64,AU,1707704521
133,washougal,45.5826,-122.3534,52.75,75,100,8.01,US,1707704914
134,akureyri,65.6835,-18.0878,31.93,93,100,14.97,IS,1707704547
135,amga,60.8953,131.9608,-17.64,96,88,2.62,RU,1707704513
136,lihue,21.9789,-159.3672,78.04,70,75,6.91,US,1707704518
